stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
277810,,01261644,레인보우로보틱스,stock_code,True
278280,,00897752,천보,stock_code,True
278470,,01190568,에이피알,stock_code,True
280360,,01258507,롯데웰푸드,stock_code,True
281740,,01255652,레이크머티리얼즈,stock_code,True
281820,,01261893,케이씨텍,stock_code,True
282330,,01263022,BGF리테일,stock_code,True
282690,,01262458,동아타이어공업,stock_code,True
284740,,01267684,쿠쿠홈시스,stock_code,True
285130,,01267170,SK케미칼,stock_code,True
286940,,01262032,롯데이노베이트,stock_code,True
287410,,01267602,제이시스메디칼,stock_code,True
289220,,01264438,자이언트스텝,stock_code,True
290650,,01181515,엘앤씨바이오,stock_code,True
293490,,01137383,카카오게임즈,stock_code,True
294870,,01310269,IPARK현대산업개발,stock_code,True
298000,,01316236,효성화학,stock_code,True
298020,,01316227,효성티앤씨,stock_code,True
298040,,01316245,효성중공업,stock_code,True
298050,,01316254,HS효성첨단소재,stock_code,True
298380,,01256864,에이비엘바이오,stock_code,True
299030,,00601191,하나기술,stock_code,True
299660,,01235296,셀리드,stock_code,True
299900,,01276327,위지윅스튜디오,stock_code,True
300720,,01319808,한일시멘트,stock_code,True
302440,,01319899,SK바이오사이언스,stock_code,True
306200,,01325979,세아제강,stock_code,True
307950,,00362441,현대오토에버,stock_code,True
310210,,01327746,보로노이,stock_code,True
316140,,01350869,우리금융지주,stock_code,True
317330,,01021666,덕산테코피아,stock_code,True
319400,,01358463,현대무벡스,stock_code,True
319660,,01365825,피에스케이,stock_code,True
322000,,01199550,HD현대에너지솔루션,stock_code,True
323280,,01366000,태성,stock_code,True
323410,,01133217,카카오뱅크,stock_code,True
323990,,01335851,박셀바이오,stock_code,True
326030,,00878696,에스케이바이오팜,stock_code,True
328130,,01397620,루닛,stock_code,True
329180,,01390344,HD현대중공업,stock_code,True
336260,,01412725,두산퓨얼셀,stock_code,True
336370,,01412822,솔루스첨단소재,stock_code,True
336570,,01407909,원텍,stock_code,True
344820,,01428203,케이씨씨글라스,stock_code,True
347700,,01336762,스피어,stock_code,True
347850,,01376715,디앤디파마텍,stock_code,True
348210,,01080252,넥스틴,stock_code,True
348370,,01011526,엔켐,stock_code,True
352480,,01226410,씨앤씨인터내셔널,stock_code,True
352820,,01204056,하이브,stock_code,True
353200,,01478712,대덕전자,stock_code,True
357780,,01489648,솔브레인,stock_code,True
358570,,01351080,지아이이노베이션,stock_code,True
361610,,01386916,SK아이이테크놀로지,stock_code,True
363280,,01497869,티와이홀딩스,stock_code,True
365340,,01274329,성일하이텍,stock_code,True
372170,,00925374,윤성에프앤씨,stock_code,True
373220,,01515323,LG에너지솔루션,stock_code,True
375500,,01524093,DL이앤씨,stock_code,True
376300,,01456011,디어유,stock_code,True
376900,,01335143,로킷헬스케어,stock_code,True
377300,,01244601,카카오페이,stock_code,True
381970,,01323032,케이카,stock_code,True
383220,,01568413,F&F,stock_code,True
383310,,01566248,에코프로에이치엔,stock_code,True
383800,,01562589,LX홀딩스,stock_code,True
388720,,01152586,유일로보틱스,stock_code,True
