stock_code,corp_code,corp_name,rcept_no,rcept_dt,report_nm,report_type,period_key,is_correction
000210,00109693,DL,20180402004589,2018-04-02,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000210,00109693,DL,20200330004388,2020-03-30,사업보고서 (2019.12),FY,사업보고서 (2019.12),False
000210,00109693,DL,20200515001792,2020-05-15,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000210,00109693,DL,20210318001440,2021-03-18,사업보고서 (2020.12),FY,사업보고서 (2020.12),False
000210,00109693,DL,20210319001199,2021-03-19,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000210,00109693,DL,20210405003117,2021-04-05,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000210,00109693,DL,20220317001283,2022-03-17,사업보고서 (2021.12),FY,사업보고서 (2021.12),False
000210,00109693,DL,20220816002153,2022-08-16,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000210,00109693,DL,20230728000642,2023-07-28,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000210,00109693,DL,20230317000003,2023-03-17,사업보고서 (2022.12),FY,사업보고서 (2022.12),False
000210,00109693,DL,20230728000644,2023-07-28,[기재정정]사업보고서 (2022.12),FY,사업보고서 (2022.12),True
000210,00109693,DL,20240314001785,2024-03-14,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000210,00109693,DL,20240329002623,2024-03-29,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000240,00160047,한국앤컴퍼니,20210817002055,2021-08-17,반기보고서 (2021.06),H1,반기보고서 (2021.06),False
000240,00160047,한국앤컴퍼니,20210831001486,2021-08-31,[기재정정]반기보고서 (2021.06),H1,반기보고서 (2021.06),True
000240,00160047,한국앤컴퍼니,20250814001807,2025-08-14,반기보고서 (2025.06),H1,반기보고서 (2025.06),False
000240,00160047,한국앤컴퍼니,20250821000646,2025-08-21,[기재정정]반기보고서 (2025.06),H1,반기보고서 (2025.06),True
000240,00160047,한국앤컴퍼니,20221114001649,2022-11-14,분기보고서 (2022.09),Q3,분기보고서 (2022.09),False
000240,00160047,한국앤컴퍼니,20221215000248,2022-12-15,[기재정정]분기보고서 (2022.09),Q3,분기보고서 (2022.09),True
000240,00160047,한국앤컴퍼니,20200330004063,2020-03-30,사업보고서 (2019.12),FY,사업보고서 (2019.12),False
000240,00160047,한국앤컴퍼니,20221215000222,2022-12-15,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000240,00160047,한국앤컴퍼니,20210322000979,2021-03-22,사업보고서 (2020.12),FY,사업보고서 (2020.12),False
000240,00160047,한국앤컴퍼니,20210330001611,2021-03-30,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000240,00160047,한국앤컴퍼니,20210330001658,2021-03-30,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000240,00160047,한국앤컴퍼니,20221215000231,2022-12-15,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000240,00160047,한국앤컴퍼니,20220322000928,2022-03-22,사업보고서 (2021.12),FY,사업보고서 (2021.12),False
000240,00160047,한국앤컴퍼니,20220406001827,2022-04-06,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000240,00160047,한국앤컴퍼니,20220407000797,2022-04-07,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000240,00160047,한국앤컴퍼니,20220407001647,2022-04-07,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000240,00160047,한국앤컴퍼니,20221215000241,2022-12-15,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000250,00128546,삼천당제약,20190814000341,2019-08-14,반기보고서 (2019.06),H1,반기보고서 (2019.06),False
000250,00128546,삼천당제약,20190816000168,2019-08-16,[기재정정]반기보고서 (2019.06),H1,반기보고서 (2019.06),True
000250,00128546,삼천당제약,20180514002757,2018-05-14,분기보고서 (2018.03),Q1,분기보고서 (2018.03),False
000250,00128546,삼천당제약,20180618000113,2018-06-18,[기재정정]분기보고서 (2018.03),Q1,분기보고서 (2018.03),True
000250,00128546,삼천당제약,20180328000550,2018-03-28,사업보고서 (2017.12),FY,사업보고서 (2017.12),False
000250,00128546,삼천당제약,20180618000112,2018-06-18,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000250,00128546,삼천당제약,20250318001341,2025-03-18,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000250,00128546,삼천당제약,20250324000897,2025-03-24,[기재정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000250,00128546,삼천당제약,20260320001096,2026-03-20,사업보고서 (2025.12),FY,사업보고서 (2025.12),False
000250,00128546,삼천당제약,20260602000573,2026-06-04,[기재정정]사업보고서 (2025.12),FY,사업보고서 (2025.12),True
000270,00106641,기아,20260814003932,2026-08-14,반기보고서 (2026.06),H1,반기보고서 (2026.06),False
000270,00106641,기아,20260916000427,2026-09-16,[기재정정]반기보고서 (2026.06),H1,반기보고서 (2026.06),True
000270,00106641,기아,20211210000409,2021-12-10,[기재정정]사업보고서 (2014.12),FY,사업보고서 (2014.12),True
000270,00106641,기아,20211210000418,2021-12-10,[기재정정]사업보고서 (2015.12),FY,사업보고서 (2015.12),True
000270,00106641,기아,20211210000438,2021-12-10,[기재정정]사업보고서 (2016.12),FY,사업보고서 (2016.12),True
000270,00106641,기아,20180402005061,2018-04-02,사업보고서 (2017.12),FY,사업보고서 (2017.12),False
000270,00106641,기아,20211210000450,2021-12-10,[기재정정]사업보고서 (2017.12),FY,사업보고서 (2017.12),True
000270,00106641,기아,20190401004356,2019-04-01,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
000270,00106641,기아,20211210000468,2021-12-10,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000270,00106641,기아,20200330004692,2020-03-30,사업보고서 (2019.12),FY,사업보고서 (2019.12),False
000270,00106641,기아,20211210000477,2021-12-10,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000270,00106641,기아,20210312000609,2021-03-12,사업보고서 (2020.12),FY,사업보고서 (2020.12),False
000270,00106641,기아,20211210000500,2021-12-10,[기재정정]사업보고서 (2020.12),FY,사업보고서 (2020.12),True
000270,00106641,기아,20240307000911,2024-03-07,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000270,00106641,기아,20240312000909,2024-03-12,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000270,00106641,기아,20250306000691,2025-03-06,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000270,00106641,기아,20250313001390,2025-03-13,[기재정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000370,00135917,한화손해보험,20210817001008,2021-08-17,반기보고서 (2021.06),H1,반기보고서 (2021.06),False
000370,00135917,한화손해보험,20210818000320,2021-08-18,[기재정정]반기보고서 (2021.06),H1,반기보고서 (2021.06),True
000370,00135917,한화손해보험,20230814001853,2023-08-14,반기보고서 (2023.06),H1,반기보고서 (2023.06),False
000370,00135917,한화손해보험,20230926000515,2023-09-26,[기재정정]반기보고서 (2023.06),H1,반기보고서 (2023.06),True
000370,00135917,한화손해보험,20240814002550,2024-08-14,반기보고서 (2024.06),H1,반기보고서 (2024.06),False
000370,00135917,한화손해보험,20240814004324,2024-08-14,[기재정정]반기보고서 (2024.06),H1,반기보고서 (2024.06),True
000370,00135917,한화손해보험,20240927000329,2024-09-27,[기재정정]반기보고서 (2024.06),H1,반기보고서 (2024.06),True
000370,00135917,한화손해보험,20250813001295,2025-08-13,반기보고서 (2025.06),H1,반기보고서 (2025.06),False
000370,00135917,한화손해보험,20250828000988,2025-08-28,[기재정정]반기보고서 (2025.06),H1,반기보고서 (2025.06),True
000370,00135917,한화손해보험,20260813001433,2026-08-13,반기보고서 (2026.06),H1,반기보고서 (2026.06),False
000370,00135917,한화손해보험,20260831001182,2026-08-31,[기재정정]반기보고서 (2026.06),H1,반기보고서 (2026.06),True
000370,00135917,한화손해보험,20230515002513,2023-05-15,분기보고서 (2023.03),Q1,분기보고서 (2023.03),False
000370,00135917,한화손해보험,20230630000673,2023-06-30,[기재정정]분기보고서 (2023.03),Q1,분기보고서 (2023.03),True
000370,00135917,한화손해보험,20231114001106,2023-11-14,분기보고서 (2023.09),Q3,분기보고서 (2023.09),False
000370,00135917,한화손해보험,20231228000091,2023-12-28,[기재정정]분기보고서 (2023.09),Q3,분기보고서 (2023.09),True
000370,00135917,한화손해보험,20240514001262,2024-05-14,분기보고서 (2024.03),Q1,분기보고서 (2024.03),False
000370,00135917,한화손해보험,20240628000237,2024-06-28,[기재정정]분기보고서 (2024.03),Q1,분기보고서 (2024.03),True
000370,00135917,한화손해보험,20241113000323,2024-11-13,분기보고서 (2024.09),Q3,분기보고서 (2024.09),False
000370,00135917,한화손해보험,20241230000449,2024-12-30,[기재정정]분기보고서 (2024.09),Q3,분기보고서 (2024.09),True
000370,00135917,한화손해보험,20250514000968,2025-05-14,분기보고서 (2025.03),Q1,분기보고서 (2025.03),False
000370,00135917,한화손해보험,20250530001897,2025-05-30,[기재정정]분기보고서 (2025.03),Q1,분기보고서 (2025.03),True
000370,00135917,한화손해보험,20251113000523,2025-11-13,분기보고서 (2025.09),Q3,분기보고서 (2025.09),False
000370,00135917,한화손해보험,20251126000171,2025-11-26,[기재정정]분기보고서 (2025.09),Q3,분기보고서 (2025.09),True
000370,00135917,한화손해보험,20260514001095,2026-05-14,분기보고서 (2026.03),Q1,분기보고서 (2026.03),False
000370,00135917,한화손해보험,20260529000135,2026-05-29,[기재정정]분기보고서 (2026.03),Q1,분기보고서 (2026.03),True
000370,00135917,한화손해보험,20190401001394,2019-04-01,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
000370,00135917,한화손해보험,20190515000731,2019-05-15,[기재정정]사업보고서 (2018.12),FY,사업보고서 (2018.12),True
000370,00135917,한화손해보험,20240313000997,2024-03-13,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000370,00135917,한화손해보험,20240430000147,2024-04-30,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000370,00135917,한화손해보험,20250311001216,2025-03-11,사업보고서 (2024.12),FY,사업보고서 (2024.12),False
000370,00135917,한화손해보험,20250331003267,2025-03-31,[기재정정]사업보고서 (2024.12),FY,사업보고서 (2024.12),True
000370,00135917,한화손해보험,20260310003000,2026-03-10,사업보고서 (2025.12),FY,사업보고서 (2025.12),False
000370,00135917,한화손해보험,20260316001467,2026-03-16,[기재정정]사업보고서 (2025.12),FY,사업보고서 (2025.12),True
000370,00135917,한화손해보험,20260331000594,2026-03-31,[기재정정]사업보고서 (2025.12),FY,사업보고서 (2025.12),True
000400,00113562,롯데손해보험,20180814001942,2018-08-14,반기보고서 (2018.06),H1,반기보고서 (2018.06),False
000400,00113562,롯데손해보험,20180820000285,2018-08-20,[기재정정]반기보고서 (2018.06),H1,반기보고서 (2018.06),True
000400,00113562,롯데손해보험,20200814002844,2020-08-14,반기보고서 (2020.06),H1,반기보고서 (2020.06),False
000400,00113562,롯데손해보험,20210129000012,2021-01-29,[기재정정]반기보고서 (2020.06),H1,반기보고서 (2020.06),True
000400,00113562,롯데손해보험,20210817000185,2021-08-17,반기보고서 (2021.06),H1,반기보고서 (2021.06),False
000400,00113562,롯데손해보험,20210817001879,2021-08-17,[기재정정]반기보고서 (2021.06),H1,반기보고서 (2021.06),True
