stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped,periods,correction_periods,correction_filings,correction_period_rate
002020,,00152862,코오롱,stock_code,True,35,7,7,0.2
002270,,00120508,롯데푸드,stock_code,True,18,1,1,0.05555555555555555
002320,,00163512,한진,stock_code,True,35,6,6,0.17142857142857143
002350,,00173874,넥센타이어,stock_code,True,35,0,0,0.0
002380,,00105271,케이씨씨,stock_code,True,42,22,22,0.5238095238095238
002710,,00117300,TCC스틸,stock_code,True,35,3,3,0.08571428571428572
002790,,00154462,아모레퍼시픽홀딩스,stock_code,True,35,3,4,0.08571428571428572
003000,,00123718,부광약품,stock_code,True,35,5,5,0.14285714285714285
003030,,00124197,세아제강지주,stock_code,True,35,2,2,0.05714285714285714
003090,,00111810,대웅,stock_code,True,35,2,3,0.05714285714285714
003100,,00131896,선광,stock_code,True,36,3,3,0.08333333333333333
003230,,00126955,삼양식품,stock_code,True,35,3,3,0.08571428571428572
003240,,00153393,태광산업,stock_code,True,50,24,25,0.48
003300,,00162993,한일홀딩스,stock_code,True,35,2,4,0.05714285714285714
003380,,00148364,하림지주,stock_code,True,37,14,18,0.3783783783783784
003410,,00138224,쌍용씨앤이,stock_code,True,35,3,3,0.08571428571428572
003470,,00117601,유안타증권,stock_code,True,35,1,1,0.02857142857142857
003490,,00113526,대한항공,stock_code,True,36,5,5,0.1388888888888889
003520,,00141149,영진약품,stock_code,True,35,5,5,0.14285714285714285
003530,,00148610,한화투자증권,stock_code,True,35,5,5,0.14285714285714285
003540,,00110893,대신증권,stock_code,True,35,5,5,0.14285714285714285
