stock_code,period_key,rcept_no,rcept_dt,is_correction,role,period_end_expected,selection_status,concept_local_name,concept_namespace,context_ref,unit_ref,decimals,scale,raw_value,numeric_value,selected_value,start_date,end_date,instant,duration_days,dimension_count,dimension_text,candidate_count_final
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,equity_total,2019-06-30,selected,Equity,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3511800116919,3511800116919.0,3511800116919.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,equity_parent,2019-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3011453641111,3011453641111.0,3011453641111.0,,,2019-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,revenue_cumulative,2019-06-30,selected,Revenue,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,4967569774523,4967569774523.0,4967569774523.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,operating_income_cumulative,2019-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2018-07-01/ifrs/dart,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,117135247731,117135247731.0,117135247731.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,net_income_total_cumulative,2019-06-30,selected,ProfitLoss,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,5093707480,5093707480.0,5093707480.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,net_income_parent_cumulative,2019-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2019dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,-1462426403,-1462426403.0,-1462426403.0,2019-01-01,2019-06-30,,181.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,assets_total,2023-06-30,selected,Assets,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,28268346829211,28268346829211.0,28268346829211.0,,,2023-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,liabilities_total,2023-06-30,selected,Liabilities,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,17209821707497,17209821707497.0,17209821707497.0,,,2023-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,equity_total,2023-06-30,selected,Equity,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,11058525121714,11058525121714.0,11058525121714.0,,,2023-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,equity_parent,2023-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,1676213459619,1676213459619.0,1676213459619.0,,,2023-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,revenue_cumulative,2023-06-30,selected,Revenue,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,9319461916954,9319461916954.0,9319461916954.0,2023-01-01,2023-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,operating_income_cumulative,2023-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2019-10-01/ifrs/dart,CFY2023dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,850197554627,850197554627.0,850197554627.0,2023-01-01,2023-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,net_income_total_cumulative,2023-06-30,selected,ProfitLoss,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,288911009346,288911009346.0,288911009346.0,2023-01-01,2023-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,net_income_parent_cumulative,2023-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2023dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,0,,-108847072458,-108847072458.0,-108847072458.0,2023-01-01,2023-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
