date,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ratio_20d,base_rate,usdkrw,bond3y,usdkrw_return_1d,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_1d,bond3y_change_5d,bond3y_change_20d,base_rate_change,rate_spread_3y
2019-01-03,-0.010943843878966075,-0.032997909043387286,-0.07491795593061412,0.14144270438545603,-0.21235829474692625,0.2676177367328896,0.20019140411908154,1.0199700723751288,1.75,1127.7,1.796,0.007774798927614013,0.0022218272307146236,0.015305663095345201,-0.006000000000000005,-0.050000000000000044,-0.1279999999999999,0.0,0.04600000000000004
2019-01-04,0.008708358672883332,-0.01339182446052678,-0.057561337468532314,0.14624513482236745,-0.20549922827186118,-0.06918301430056861,0.024487988098618407,1.039935845035788,1.75,1124.5,1.797,-0.0028376341225503365,-0.0007997156566554864,0.01737084954311041,0.0009999999999998899,-0.010000000000000009,-0.11699999999999999,0.0,0.04699999999999993
2019-01-07,0.013875049194878697,0.0019529310516035459,-0.03801692289357661,0.15701990066606636,-0.19447549097876415,-0.01385500123741834,-0.07301228717546282,0.9573044200455736,1.75,1118.6,1.807,-0.005246776345042337,-0.0012500000000000844,0.004039134727582772,0.010000000000000009,-0.0030000000000001137,-0.09400000000000008,0.0,0.05699999999999994
2019-01-08,-0.007028410967955034,-0.010509769064902086,-0.0280126764434816,0.14767335060714992,-0.20013704827292567,0.2074957146763332,0.0028735085369360203,0.9600877300591669,1.75,1124.1,1.81,0.004916860361165787,0.007528905619790249,0.0033919485852003106,0.0030000000000001137,-0.006999999999999895,-0.028999999999999915,0.0,0.06000000000000005
2019-01-09,0.02199136647564237,0.026490785450535626,-0.011424617637356915,0.16835309093587061,-0.18254696897120648,-0.0963726001702403,0.08935084936221305,1.0312742493959914,1.75,1122.1,1.809,-0.0017792011386886797,0.0027703306523680915,0.002053938203250505,-0.001000000000000112,0.006999999999999895,-0.025000000000000133,0.0,0.05899999999999994
2019-01-10,0.00022787756463982234,0.038085343604297606,0.000683944405090342,0.16292092652293588,-0.1823606897652882,-0.01774330181963646,-0.010173938579074893,1.0120922441708273,1.75,1118.3,1.796,-0.0033865074414044516,-0.008335550234991662,-0.007279183311140747,-0.0129999999999999,0.0,-0.006999999999999895,0.0,0.04600000000000004
2019-01-11,0.005524771970935927,0.03480904013464747,0.010077893205391097,0.16332473652945007,-0.17784341902176803,-0.15734978505571762,-0.2031023155314814,0.81350371455729,1.75,1116.4,1.804,-0.0016990074219797036,-0.007203201422854466,-0.012122820989292848,0.008000000000000007,0.007000000000000117,0.01200000000000001,0.0,0.05400000000000005
2019-01-14,-0.008472244699789577,0.012000330360092404,-0.013334514328966485,0.15683700736187747,-0.18480893075735805,-0.08498436996728875,-0.012642156983707409,0.8083981202952545,1.75,1123.0,1.797,0.005911859548548781,0.003933488288932585,-0.0048737261852015434,-0.007000000000000117,-0.010000000000000009,-0.006000000000000005,0.0,0.04699999999999993
2019-01-15,0.01784009205683379,0.037345399196533346,0.0007221433213779882,0.1695699677234802,-0.1702658470381605,0.13219175711653253,0.08971857608915257,0.9087277884474789,1.75,1120.7,1.797,-0.002048085485307216,-0.0030246419357706777,-0.0024034181947659716,0.0,-0.013000000000000123,0.0020000000000000018,0.0,0.04699999999999993
2019-01-16,0.004337751264843259,0.019426562385552515,0.02097206713017674,0.15960067234542702,-0.16666666666666663,-0.016695222836704993,-0.024350579869799716,0.9008831298628158,1.75,1120.1,1.803,-0.0005353796734185456,-0.0017823723375812728,-0.009462327555712857,0.006000000000000005,-0.006000000000000005,0.02200000000000002,0.0,0.052999999999999936
2019-01-17,0.0006865719303847939,0.019894061073546965,0.01958710894922633,0.15956519363020005,-0.1660945233913459,0.21296908600274111,0.17170783376468046,1.0552295351747423,1.75,1122.5,1.795,0.002142665833407831,0.0037557006170079177,-0.007778661716609125,-0.008000000000000007,-0.001000000000000112,0.0,0.0,0.04499999999999993
2019-01-18,0.007985895042522229,0.022390354426282677,0.031858941900919646,0.16023544577109963,-0.15943504177976464,-0.14246780170268702,-0.11361458948930847,0.9415489560223433,1.75,1121.9,1.814,-0.0005345211581291309,0.004926549623790688,-0.006816572237960172,0.019000000000000128,0.010000000000000009,0.019000000000000128,0.0,0.06400000000000006
2019-01-21,-0.00030075902079207406,0.030816188292133617,0.021619916529166172,0.15743959380085792,-0.1596878492735111,0.028573807630495107,0.01980011173225482,0.961944068745972,1.75,1128.1,1.821,0.005526339245921941,0.004541406945681059,0.0040943480195816395,0.006999999999999895,0.02400000000000002,0.038000000000000034,0.0,0.07099999999999995
2019-01-22,-0.004053551211710915,0.00864343043161031,0.02646180459226133,0.15438769630087937,-0.1630940976103038,-0.22778346219026657,-0.15534513706923558,0.8233666338459796,1.75,1130.5,1.803,0.0021274709688858806,0.008744534665833914,0.0023940414967194013,-0.018000000000000016,0.006000000000000005,0.0029999999999998916,0.0,0.052999999999999936
2019-01-23,0.003529495933925375,0.007831710043110451,0.028280754913699635,0.15457759966832463,-0.16014024163074125,0.1813601808185581,0.17300400120625503,0.9745304827631102,1.75,1127.3,1.803,-0.002830605926581242,0.00642799750022327,0.004365645046329192,0.0,0.0,-0.03500000000000014,0.0,0.052999999999999936
2019-01-24,0.010804730634262905,0.01802211478627158,0.04225202561421848,0.15717266663249055,-0.15106578317100428,0.2687564028589795,0.1597064529772736,1.115125868521786,1.75,1128.6,1.81,0.0011531979065022568,0.005434298440979868,0.0030216850337716483,0.007000000000000117,0.015000000000000124,-0.03600000000000003,0.0,0.06000000000000005
