date,open,high,low,close,volume,trading_value,market_cap,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ma20,trading_value_ratio_20d
2024-12-27,1477.18,1482.06,1460.99,1470.96,125893397,7005617037822,1896023341622990,-0.007683745404256648,-0.010660407180473563,-0.038720175662164014,0.23176534256670664,-0.2634077456960009,-0.04711677191280317,-0.03461642289714484,9060896759601.45,0.7731703851937661
2024-12-30,1466.13,1487.13,1461.34,1468.46,98900345,5685954431595,1894908878052125,-0.0016995703486158975,0.0012341049330104603,-0.021678880746169193,0.222672828468445,-0.2646596360504362,-0.2144119758719355,-0.188372073309516,8886882809440.1,0.6398142693583277
2025-01-02,1467.62,1474.71,1459.38,1467.98,122722653,7213029252153,1894291559985810,-0.0003268730506789108,-0.013620023517554203,-0.02194002305268139,0.22265987117022043,-0.2648999989984877,0.24087183922361444,0.2685696550912442,8838802476288.1,0.8160640846430758
2025-01-03,1470.58,1508.1,1469.71,1499.45,165520114,9965006663525,1933912703987620,0.0214376217659642,0.005559430242227492,-0.020325893790507976,0.22481172705597294,-0.2491412032168574,0.3487331796844386,0.3815286636402546,8844461055414.4,1.126694617240089
2025-01-06,1507.43,1534.2,1503.7,1533.48,160723716,9548575465927,1972443775051740,0.02269498816232618,0.034492528755017515,0.01718659830057656,0.23316790681515748,-0.23210047171228554,-0.02897773499600176,-0.04178935465465028,8664252597281.05,1.1020656841103018
2025-01-07,1550.23,1555.44,1531.38,1531.38,187250207,10721213641455,1975021964606965,-0.001369434228030264,0.041075216185348484,0.024313893366688433,0.2307952715844599,-0.23315205961001106,0.1650440374337785,0.12280765646272851,8710211965087.0,1.2308786151736222
2025-01-08,1522.16,1552.93,1522.16,1548.73,198994109,10983235098752,1997955057859425,0.011329650380702327,0.05466270787083061,0.041940540504174395,0.2318206804454551,-0.2244639405502309,0.06271769835747087,0.024439533252453627,8725149323007.25,1.2588019633991168
2025-01-09,1553.32,1562.1,1547.04,1551.47,193079609,12241670326464,2000718417125740,0.0017691915311255357,0.05687407185384008,0.07312467577381976,0.20405702615052676,-0.2230918687217699,-0.029721985388019734,0.11457782851748233,8836395040603.1,1.3853692903286592
2025-01-10,1555.9,1560.62,1541.41,1546.15,178473937,9825405133709,1992711242914315,-0.0034290060394335242,0.031144753076127962,0.04368751814125549,0.1894392368994079,-0.22575589139600793,-0.07564585445167338,-0.19738035156293388,8857569411667.7,1.1092665128614643
2025-01-13,1538.95,1544.6,1522.65,1525.72,148524197,8266292418235,1969988355133515,-0.013213465705138594,-0.005060385528340761,0.020671385183500313,0.1951773940870694,-0.2359863393724524,-0.16781016042695351,-0.15868177385632642,8899446942262.85,0.9288546211763966
2025-01-14,1531.75,1534.64,1520.08,1530.13,149082976,8633753496206,1978769752625230,0.002890438612589419,-0.0008162572320390415,0.008402641395036214,0.18825463075922727,-0.23377800478722865,0.0037622085241773018,0.04445294932470567,8719177195324.55,0.990202779780143
2025-01-15,1540.32,1549.64,1526.57,1529.87,197474356,9150702114457,1977102638986700,-0.0001699202028587754,-0.012177719809134069,0.0031145090222408633,0.18746866629662712,-0.23390820138409008,0.32459360081462285,0.059875304348006475,8712105498415.0,1.0503433545566907
2025-01-16,1552.03,1556.94,1548.37,1552.77,193923268,9865879291894,2003828070517480,0.014968592102597045,0.0008379150096360366,0.020283855706682452,0.194327667757851,-0.22244088573746357,-0.017982527311039775,0.07815544299132049,8784955771441.05,1.123042568292366
2025-01-17,1548.13,1554.27,1542.2,1550.33,194300447,10445782660303,2000284600811830,-0.001571385330731534,0.002703489312162466,0.03241079871608732,0.18714791043527312,-0.22366273072339238,0.0019449909435313995,0.058778680668175154,8842207509719.85,1.1813546163466997
2025-01-20,1556.23,1558.45,1544.28,1546.47,185523503,8984430283844,1998734638283835,-0.0024897924957911766,0.013600136329077417,0.01683247088837314,0.18290689213229888,-0.22559564943064025,-0.04517202165777823,-0.1398987920754433,8853378027480.05,1.0148025144704287
2025-01-21,1555.81,1567.92,1541.0,1548.41,229253810,10104420064423,1995971595353740,0.0012544698571586022,0.011946697339441759,0.041430983111493846,0.16090254834942816,-0.22462418251559857,0.23571302984722098,0.124658965031204,8945615126619.9,1.1295388770253247
2025-01-22,1559.97,1571.81,1552.96,1568.49,235680413,11754403203720,2020593799390725,0.012968141512906817,0.025243974978266248,0.0694371526949169,0.15411393891367473,-0.21456899918877503,0.028032698780447785,0.16329320522871793,9100197811592.25,1.291664582142017
2025-01-23,1563.21,1564.17,1549.54,1549.54,211695806,10612370801361,1996757976492355,-0.012081683657530484,-0.002080153532074913,0.04118259700991089,0.15734165839311604,-0.22405832807539383,-0.10176750241862487,-0.09715783800895761,9265062185657.65,1.1454181945793076
2025-01-24,1556.94,1566.62,1552.56,1560.88,181526162,10213885440450,2014200616069795,0.007318300915110321,0.006805002805854388,0.046755546017865246,0.15843929281892466,-0.2183797534276758,-0.1425141318104337,-0.03754913660384873,9423922454628.8,1.0838252850258958
2025-01-31,1558.4,1561.89,1532.04,1546.44,222836035,14161452947842,2000657352185205,-0.00925119163548771,-1.9399018409638202e-05,0.04323540324484787,0.16116688554018688,-0.2256106721148935,0.22756980340938404,0.38649028622922166,9769153988706.85,1.449608938932957
2025-02-03,1514.62,1515.98,1493.33,1503.13,211386097,12137321059537,1946171721711015,-0.028006259538035705,-0.029242900782092573,0.021870071245989164,0.1910212558436713,-0.24729842061512874,-0.051382793631200574,-0.1429325010477437,10025739189792.6,1.2106160782532867
2025-02-04,1522.9,1542.77,1517.82,1524.46,200690587,12247335074539,1970173161877740,0.014190389387478186,-0.028071584772615732,0.038135189245876555,0.1961349634464125,-0.23661729211108773,-0.050597036190133116,0.009064110149377358,10353808221939.8,1.1828821639352756
2025-02-05,1539.82,1547.35,1535.31,1542.64,177585956,10806164445795,1994294161229450,0.011925534287551054,-0.004452934419246879,0.050859003528658464,0.19905241219498623,-0.2275135454536349,-0.11512563367010331,-0.11767218092530607,10533464981621.9,1.0258888660710306
2025-02-06,1551.71,1562.21,1546.58,1562.21,221552345,13062599436211,2017649994470885,0.012686044702587829,0.0008520834401106736,0.041855346960552264,0.1902737733227566,-0.21771374775911623,0.24757807424816858,0.20880998079702984,10688344620256.2,1.2221349423422585
2025-02-07,1559.33,1562.55,1549.76,1551.77,213421404,11086436996173,2006730650623005,-0.006682840335166196,0.003446625798608327,0.011927120014607384,0.17619694524417712,-0.2229416418792377,-0.03669986431423233,-0.1512840112481636,10765237696768.5,1.0298367122447205
2025-02-10,1543.15,1559.02,1535.81,1555.11,211067715,11821860616903,2007327998351405,0.002152380829633316,0.03458117395035676,0.015495827293029674,0.1761045694409917,-0.22126911636571234,-0.01102836433406651,0.06633543499898709,10820270045540.9,1.092566134407603
2025-02-11,1561.63,1570.96,1556.24,1563.59,201414640,12320428248671,2020565809085995,0.005452990463697072,0.025668105427495647,0.009594958449826496,0.1726582796753381,-0.21702270428346804,-0.045734493311779145,0.04217336406886263,10887129703036.85,1.1316507274855325
2025-02-12,1559.58,1567.63,1553.05,1565.82,272268505,14395417051843,2027613004832910,0.001426205079336773,0.015026188871026136,0.009249292606366755,0.17263002706577635,-0.2159060180873119,0.35178110687485287,0.1684185615378937,10994817039305.8,1.309291186963845
2025-02-13,1572.26,1582.7,1569.48,1582.61,334201362,17136072255052,2055129230794800,0.010722816160222637,0.01305842364342813,0.02358115318694809,0.1756226193909631,-0.20749832246692512,0.22746978024505626,0.19038386962593234,11360350395372.95,1.5084105382903938
2025-02-14,1586.92,1597.67,1584.54,1592.06,326524332,15553998136335,2063821542513000,0.0059711489248772676,0.025963899289198844,0.04348111055763826,0.16772982383918053,-0.20276617692716004,-0.022971270835215774,-0.09232419746891407,11724735681277.95,1.326596910936902
2025-02-17,1594.88,1605.28,1592.34,1604.11,234214768,12264483740493,2079980176939730,0.007568810220720312,0.031509025085042275,0.04834883310568361,0.16880988096753918,-0.1967320654187824,-0.2827034770566501,-0.21148995692352002,11906272193492.3,1.0300859531160802
2025-02-18,1606.73,1618.01,1600.88,1616.42,249745225,13804626470688,2093674716968105,0.0076740373166430675,0.03378762974948679,0.056573434344094675,0.1695099644734401,-0.19056775731354347,0.06630861551821532,0.1255774611294882,12138968411303.85,1.1372157833307388
2025-02-19,1621.47,1651.02,1621.47,1645.38,357730479,16606574515440,2129629141197695,0.017916135657811694,0.05081043798137719,0.05964180142583908,0.1726086888183796,-0.1760658594477661,0.43238165614577806,0.20297166683223966,12476003172481.15,1.3310812995038208
2025-02-20,1640.07,1645.08,1627.31,1633.14,301224088,15510936295467,2114480400591505,-0.007439011049119371,0.031928270388788205,0.05341443434623616,0.17587616564179265,-0.1821951146230808,-0.15795799999473903,-0.0659761722054315,12729260854239.35,1.2185260772860382
2025-02-21,1633.17,1635.43,1622.62,1634.22,238503447,12360389341373,2115654917568595,0.0006613027664499338,0.026481414017059723,0.05674212884828034,0.17500502967368609,-0.1816542979899648,-0.2082192078875179,-0.2031177805181711,12898058807115.8,0.958313923530402
2025-02-24,1619.89,1625.82,1613.12,1625.82,250676610,11096624979668,2108529400931045,-0.0051400668208687605,0.01353398457711763,0.0499932188503045,0.17722235038960094,-0.18586064958086712,0.051039778054025264,-0.10224308691271533,12947669052878.05,0.8570365008828679
2025-02-25,1606.94,1623.38,1606.22,1615.33,256084546,11425274283560,2095637608057685,-0.006452128771942789,-0.0006743296915406871,0.0298631167556056,0.17540816020095287,-0.19111358150807722,0.021573357003670912,0.02961705063424014,12931212606870.05,0.8835423738598203
2025-02-26,1614.77,1628.32,1609.09,1623.06,258026223,12324658260259,2103919482136400,0.004785399887329511,-0.013565255442511859,0.04744633891348404,0.16811381224123262,-0.1872427365321636,0.007582171709807017,0.07871880835221057,13016826979814.95,0.9468250810562906
2025-02-27,1620.4,1622.46,1605.5,1611.83,228721571,12159287998572,2090577857826105,-0.006919029487511219,-0.013048483289858859,0.03264184306288742,0.1701440849123969,-0.19286622800428654,-0.11357237903683925,-0.013417837492520013,13114097107721.05,0.9271921580794992
2025-02-28,1586.88,1588.72,1552.94,1553.54,318406775,16647693249299,2014489151020000,-0.03616386343472944,-0.049369117989010114,0.004591190088202524,0.2141635945131176,-0.2220553035082976,0.3921151975648156,0.3691338877123498,13238409122793.9,1.2575297450684608
2025-03-04,1545.38,1562.1,1540.0,1551.68,234626481,13214343542659,2010334257834480,-0.001197265599855779,-0.04560160411361647,0.032299268858980934,0.1864950094744106,-0.22298670993199732,-0.26312346525917985,-0.20623576222997564,13292260246950.0,0.9941381899809795
2025-03-05,1565.21,1574.16,1554.66,1566.62,239294213,12437333850272,2032339152639360,0.009628273870901038,-0.030154829044220066,0.02765569447542071,0.18310074507909904,-0.2155054131738926,0.019894310224940037,-0.05880047615521955,13301760185736.65,0.9350141392271102
2025-03-06,1576.05,1581.56,1568.93,1575.95,227361086,11972209799732,2038685154389850,0.005955496546705685,-0.029025421118134775,0.021592853809054624,0.17975726784603369,-0.21083335837114037,-0.04986801331463875,-0.03739740816958359,13360062453433.5,0.8961192989524667
2025-03-07,1560.28,1574.6,1554.1,1567.0,252299446,12438593560309,2027902354720720,-0.0056791141850947024,-0.027813106841292123,0.0030661690809814512,0.17587755757906537,-0.21531512584001844,0.10968614039783398,0.03895552854306317,13328862159638.4,0.9332074569706892
2025-03-10,1560.76,1575.57,1557.74,1567.88,187315972,10021674366173,2032577068495125,0.0005615826419911318,0.009230531560178834,0.010381693163290961,0.17398046284618038,-0.21487446043525715,-0.25756486996011874,-0.19430807690736696,13275624028138.4,0.7548929033340747
2025-03-11,1534.25,1556.72,1527.56,1550.47,241218512,11527282052304,2006933838042500,-0.011104166135163407,-0.0007797999587544346,-0.002983711763154928,0.17868561597509747,-0.22359262486354392,0.2877626473838546,0.15023514346195532,13260895099908.45,0.869268776010722
2025-03-12,1559.9,1580.77,1553.83,1576.64,260711420,12649182946414,2037962249693300,0.016878752894283755,0.006395935198069802,0.0083461777064322,0.18775780990729568,-0.21048783663331627,0.08081016601246582,0.09732570861192391,13277332834795.6,0.952690054832743
2025-03-13,1592.58,1594.68,1568.14,1577.32,241542240,13734349603427,2035386938763280,0.00043129693525467694,0.000869316919952956,0.007344394630289575,0.18772471508596092,-0.21014732245690992,-0.07352643010421256,0.08578946652998187,13244279462374.8,1.0370024011079215
2025-03-14,1572.51,1583.23,1571.31,1576.94,180088610,10252731586575,2030990864342765,-0.00024091496969536053,0.00634333120612629,-0.0035826893549262273,0.18374595781963393,-0.21033760979078409,-0.2544218766870755,-0.2534971161636417,12900112428950.95,0.7947784674779584
