date,000660.KS,005380.KS,005930.KS,035420.KS,105560.KS
2025-09-12,327534.5,218207.375,74465.5234375,233546.71875,115710.1015625
2025-09-15,330027.125,209908.671875,75551.8984375,231567.515625,116001.0703125
2025-09-16,346977.15625,209908.671875,78415.953125,232557.125,114255.2421875
2025-09-17,332519.78125,210885.0,77230.828125,231072.71875,114740.1953125
2025-09-18,354455.125,211373.140625,79304.796875,234288.921875,113382.3203125
2025-09-22,349968.34375,212837.625,82465.140625,229588.3125,113382.3203125
2025-09-23,359938.96875,213813.953125,83650.2734375,228598.703125,111927.453125
2025-09-24,356449.21875,212349.46875,84341.59375,225629.890625,111830.4609375
2025-09-25,355452.1875,211861.3125,85032.9140625,251359.609375,110860.5625
2025-09-26,335511.0,209420.515625,82267.6171875,253833.625,109308.7109375
2025-09-29,347974.21875,209908.671875,83527.4765625,271646.5,112218.421875
2025-09-30,346478.65625,209908.671875,83229.875,265708.875,112024.453125
2025-10-01,358941.90625,210396.84375,85313.09375,251854.421875,112800.3671875
2025-10-02,394337.59375,214790.28125,89033.15625,250370.0,113770.2890625
2025-10-10,426742.03125,211861.3125,93646.0078125,264719.28125,109405.6953125
2025-10-13,413780.28125,213325.796875,92554.796875,259771.25,108241.796875
2025-10-14,410290.53125,217719.21875,90868.375,255318.03125,107562.875
2025-10-15,421258.25,218207.375,94241.2109375,255812.828125,112218.421875
2025-10-16,451170.03125,236269.296875,96919.6484375,257792.046875,110278.609375
2025-10-17,464131.8125,237245.609375,97118.046875,252844.015625,110569.59375
2025-10-20,484073.0625,242127.203125,97316.453125,255318.03125,114643.203125
2025-10-21,477592.15625,250425.921875,96721.25,251854.421875,112994.359375
2025-10-22,480084.78125,254819.359375,97812.4609375,252844.015625,112315.421875
2025-10-23,477093.625,246032.484375,95729.234375,239979.15625,111345.5078125
2025-10-24,508501.03125,246520.640625,98010.8671875,244432.375,110375.6015625
2025-10-27,533427.5625,248473.296875,101185.296875,248390.796875,114449.21875
2025-10-28,519468.71875,244568.015625,98705.2734375,250370.0,112897.3671875
2025-10-29,556359.9375,251890.40625,99697.2890625,262245.25,112509.3984375
2025-10-30,566330.5625,258724.625,103268.53125,252844.015625,112315.421875
2025-10-31,557357.0,283132.625,106641.3828125,264719.28125,113091.34375
2025-11-03,618177.6875,284597.09375,110212.625,271646.5,114449.21875
2025-11-04,584277.6875,269464.125,104062.140625,264224.46875,118231.8671875
2025-11-05,577298.25,262141.75,99796.484375,275604.9375,117940.8984375
2025-11-06,591257.125,262629.875,98407.6640625,261255.65625,121529.5546875
2025-11-07,578295.25,257748.3125,97118.046875,257297.234375,119977.6953125
2025-11-10,604218.8125,264094.40625,99796.484375,257297.234375,125118.21875
2025-11-11,617180.625,262629.875,102673.328125,260266.0625,126767.0625
2025-11-12,615186.5,268976.0,102276.515625,260760.859375,130646.6953125
2025-11-13,610201.3125,271904.96875,101978.921875,262740.0625,130383.0078125
2025-11-14,558354.0625,266047.03125,96423.640625,250864.8125,126476.390625
2025-11-17,604218.8125,265070.6875,99796.484375,252349.21875,123839.4296875
2025-11-18,568324.6875,258236.5,97018.8515625,246411.59375,119639.828125
2025-11-19,560348.25,257748.3125,95729.234375,245916.78125,119346.84375
2025-11-20,569321.75,255795.6875,99796.484375,254328.421875,118370.1796875
2025-11-21,519468.71875,253354.890625,94042.8203125,259771.25,117686.5234375
2025-11-24,518471.625,251402.25,95927.640625,258286.84375,117491.1875
2025-11-25,517474.5625,251402.25,98506.8671875,250370.0,118858.5078125
2025-11-26,522459.90625,255307.53125,101978.921875,260760.859375,121788.46875
2025-11-27,542789.5625,257771.890625,102673.328125,248885.59375,120811.8125
2025-11-28,528820.6875,257771.890625,99697.2890625,241463.5625,121886.1328125
2025-12-01,536802.9375,250871.671875,99994.8984375,240473.953125,123351.109375
2025-12-02,556758.375,262207.71875,102574.125,240473.953125,128918.0234375
2025-12-03,550771.75,262700.59375,103665.3359375,243937.578125,128625.0234375
2025-12-04,540794.0,279458.25,104260.546875,244432.375,125792.7421875
2025-12-05,542789.5625,310509.15625,107534.1875,246906.390625,127648.375
2025-12-08,575716.125,311002.03125,108625.3984375,246411.59375,124913.75
2025-12-09,564740.625,302623.21875,107534.1875,245421.984375,123058.1171875
2025-12-10,585693.875,298187.375,107137.375,241958.359375,121593.1328125
2025-12-11,563742.875,291287.15625,106442.96875,240968.765625,121886.1328125
2025-12-12,569729.5,297201.625,108030.1953125,241958.359375,123155.7734375
2025-12-15,552767.3125,289315.6875,103962.9453125,237999.953125,121983.7890625
2025-12-16,528820.6875,281922.59375,101978.921875,229093.5,120811.8125
2025-12-17,549774.0,281922.59375,107038.1796875,228598.703125,121397.796875
2025-12-18,550771.75,278472.5,106740.5859375,228103.90625,121104.8046875
2025-12-19,545782.875,284386.96875,105450.9609375,233051.921875,122276.7890625
2025-12-22,578709.4375,284879.8125,109617.4140625,235525.9375,123546.4375
2025-12-23,582700.5625,282908.3125,110609.4296875,234536.328125,123058.1171875
2025-12-24,586691.6875,284879.8125,110212.625,234041.53125,123155.7734375
2025-12-26,597667.25,281922.59375,116065.4921875,229093.5,121690.796875
2025-12-29,638576.0,289315.6875,119121.796875,239484.359375,122667.453125
2025-12-30,649551.5,292272.90625,119520.53125,239979.15625,121788.46875
