date,Regime-Aware V1,Static MVO,Equal Weight,EIIE 40ep,Cash
2026-04-17,108.28098421731384,172.46065648072894,146.68453722004872,91.21498040896519,100.0
2026-04-20,107.93046836610598,171.91548468146328,146.20970541283563,90.04608444528562,100.0
2026-04-21,110.92822653804824,176.6904204052585,149.30961953222223,90.24159271995018,100.0
2026-04-22,110.1400372840011,175.57048301370156,148.24871518610615,90.24159270806604,100.0
2026-04-23,110.96279405682014,178.9908562601769,149.35614748310618,91.61563811213657,100.0
2026-04-24,109.18019071877696,175.1296548491722,146.95675974847217,90.24141660299799,100.0
2026-04-27,112.20283503901658,179.97810449054415,150.07746033527758,90.63516761244685,100.0
2026-04-28,112.56091426312284,180.55247874757322,152.5999965577912,92.4097538905856,100.0
2026-04-29,113.89230345892847,182.68808346484226,153.45602132745327,92.6070021338589,100.0
2026-04-30,111.04823386885847,178.126075261734,149.88829974913418,89.05104708494908,100.0
2026-05-04,117.52941733035709,188.52216831812035,154.93596959753853,88.25851804935915,100.0
2026-05-06,131.37586963403706,210.73246486426802,163.39879902856293,87.86183496990445,100.0
2026-05-07,134.75937781586362,216.15975543924895,167.09821070991148,87.66329592192734,100.0
2026-05-08,135.742922931184,217.7374035037987,171.08256207400757,90.64246540230505,100.0
2026-05-11,145.1665977989049,232.85337752921268,177.8574361492678,89.25495070285665,100.0
2026-05-12,142.38884236931432,228.39774005104928,173.76992224461455,86.27974002827726,100.0
2026-05-13,148.11936326311024,237.58973852283663,179.71841928474421,85.28528427415836,100.0
2026-05-14,152.40419442890777,244.4627893776932,184.22653953847046,89.86421560998977,100.0
2026-05-15,141.25540836818635,226.57966385879257,175.86937635494374,86.09405919936933,100.0
2026-05-18,144.00109786070212,230.98386621438146,174.58891366439514,84.70122631529154,100.0
2026-05-19,138.82529596979734,222.6816605417735,168.6179720237381,83.9438956598452,100.0
2026-05-20,138.53661247690766,222.2185999798017,166.64285085317138,81.30897072579675,100.0
2026-05-21,151.8031726382989,243.49872494390516,179.66415853153666,84.51163524720192,100.0
2026-05-22,148.9682327232391,238.95136112658614,179.8484273470039,85.91027251968166,100.0
2026-05-26,153.79221802205015,246.68923806943127,183.4333231685087,84.71231089512789,100.0
2026-05-27,158.43701374963806,254.13968734289534,186.36730939922379,84.23253777684253,100.0
2026-05-28,156.2173368150493,250.57923143168992,186.31390622958378,86.71343355513376,100.0
2026-05-29,164.6832000527956,264.15883499407704,197.2347086780926,98.3021757472062,100.0
2026-06-01,177.39990665056834,284.55697152987557,209.91163188464603,113.19002672330123,100.0
2026-06-02,180.53544375205604,289.5865059787092,212.69995879027465,116.73460290015984,100.0
2026-06-04,175.54614706953024,281.583462567643,208.92106274153014,111.62823813807626,100.0
2026-06-05,169.82260724621375,265.09836089433924,202.10936084722923,106.90948756409453,100.0
2026-06-08,159.94115704936453,239.74136839020045,190.34924471243556,116.1538650859378,100.0
2026-06-09,148.09929362413013,260.1203640451097,197.64672573016014,107.5539635219129,100.0
2026-06-10,138.86966608457334,243.90952321771553,185.1650776442113,95.78852674623302,100.0
2026-06-11,138.21846271268117,242.5784300481602,184.29678058324515,94.6043601123935,100.0
2026-06-12,146.1072258987835,257.14282924747823,194.8154452351918,103.6873916179888,100.0
2026-06-15,146.6602802761375,270.33917225595496,203.82382240502923,104.0798757368131,100.0
2026-06-16,147.7756722235071,274.7943642374204,205.3739588820945,101.73073335003247,100.0
2026-06-17,147.59449863790596,277.51751223786886,205.12216955872407,102.31728086220953,100.0
2026-06-18,153.0060076584531,287.69261046100365,206.8996023007391,99.0019032934142,100.0
2026-06-19,151.73132602553298,285.295864790075,205.78677779936626,96.8540052679885,100.0
2026-06-22,151.52551855170046,284.90889116527825,204.20516271306272,93.92434385109833,100.0
2026-06-23,132.90764040302722,249.90225287828304,184.7201353758604,86.29840197445357,100.0
2026-06-24,142.27758247777226,267.5202741351292,188.14242614611604,85.079145535802,100.0
2026-06-25,149.53171497539236,281.16000205698265,194.01897725641592,85.19714688183089,100.0
2026-06-26,141.13209269429623,265.3664440267045,185.67541982994916,83.89988148814209,100.0
2026-06-29,141.13209269429623,257.59232107565595,187.0910084167187,86.88182183306863,100.0
2026-06-30,141.13209269429623,263.74150926612134,188.90114908692428,84.93050331485257,100.0
2026-07-01,141.13209269429623,251.20696451593187,184.41731983148156,84.30524062914523,100.0
2026-07-02,141.13209269429623,229.7172631381466,177.26446877474177,85.28388934034803,100.0
2026-07-03,141.13209269429623,247.14429950256164,185.13991811998025,83.67810624847694,100.0
2026-07-06,141.13209269429623,251.38549807401827,185.98279643326137,83.9922745460056,100.0
